,deviceCategory,channelGrouping,PageDepth,sessionDuration,transactions,operatingSystem,landingPageKeyWord,fuente,transporte
14551,desktop,Organic Search,6,190.0,0,Windows,product,google,organic
14552,desktop,Organic Search,9,340.0,0,Macintosh,home,google,organic
14553,desktop,Organic Search,4,93.0,0,Windows,home,google,organic
14554,desktop,Paid Search,2,397.0,0,Windows,product,google,cpc
14555,desktop,Paid Search,2,13.0,0,Windows,product,google,cpc
14556,desktop,Paid Search,2,21.0,0,Windows,product,google,cpc
14557,desktop,Organic Search,5,57.0,0,Windows,home,google,organic
14558,desktop,Organic Search,10,127.0,0,Windows,home,google,organic
14559,desktop,Organic Search,13,1331.0,0,Windows,home,google,organic
14560,desktop,Organic Search,9,579.0,0,Macintosh,home,google,organic
14561,desktop,Organic Search,4,86.0,0,Windows,home,google,organic
14562,desktop,Organic Search,3,27.0,0,Windows,home,google,organic
14563,desktop,Organic Search,5,27.0,0,Windows,home,google,organic
14564,desktop,Organic Search,3,355.0,0,Windows,home,google,organic
14565,desktop,Organic Search,3,68.0,0,Windows,home,google,organic
14566,desktop,Organic Search,2,15.0,0,Windows,home,google,organic
14567,desktop,Organic Search,3,22.0,0,Windows,home,google,organic
14568,desktop,Organic Search,2,126.0,0,Windows,product,google,organic
14569,desktop,Organic Search,2,10.0,0,Windows,home,google,organic
14570,desktop,Organic Search,9,158.0,0,Windows,home,google,organic
14571,desktop,Paid Search,4,76.0,0,Windows,product,google,cpc
14572,desktop,Organic Search,3,75.0,0,Windows,home,google,organic
14573,desktop,Paid Search,3,43.0,0,Macintosh,product,google,cpc
14574,desktop,Organic Search,3,56.0,0,Macintosh,home,google,organic
14575,desktop,Organic Search,17,394.0,0,Macintosh,home,google,organic
14576,desktop,Organic Search,6,116.0,0,Windows,home,google,organic
14577,desktop,Organic Search,6,70.0,0,Windows,home,google,organic
14578,desktop,Direct,4,19.0,0,Windows,home,(direct),(none)
14579,desktop,Paid Search,2,855.0,0,Windows,product,google,cpc
14580,desktop,Organic Search,7,345.0,0,Windows,home,google,organic
14581,desktop,Organic Search,3,88.0,0,Windows,home,google,organic
14582,desktop,Direct,4,29.0,0,Windows,home,(direct),(none)
14583,desktop,Organic Search,12,772.0,0,Windows,home,google,organic
14584,desktop,Organic Search,3,221.0,0,Windows,home,google,organic
14585,desktop,Organic Search,5,88.0,0,Windows,home,google,organic
14586,desktop,Paid Search,3,32.0,0,Windows,home,google,cpc
14587,desktop,Paid Search,3,32.0,0,Windows,home,google,cpc
14588,desktop,Paid Search,4,192.0,0,Windows,product,google,cpc
14589,desktop,Organic Search,13,1061.0,0,Windows,home,google,organic
14590,desktop,Organic Search,2,7.0,0,Windows,home,google,organic
14591,desktop,Organic Search,10,898.0,0,Windows,search,google,organic
14592,desktop,Organic Search,2,6.0,0,Windows,home,google,organic
14593,desktop,Organic Search,5,83.0,0,Windows,home,google,organic
14594,desktop,Organic Search,3,19.0,0,Windows,home,google,organic
14595,desktop,Organic Search,6,534.0,0,Windows,search,google,organic
